student_id,Factors influencing extraction_masteryStatus,Factors influencing extraction_ability,Factors influencing extraction_numberOfQuestions,Experiment Extraction at large scale at Industry_masteryStatus,Experiment Extraction at large scale at Industry_ability,Experiment Extraction at large scale at Industry_numberOfQuestions,Experiment Extraction of Olive-based compounds_masteryStatus,Experiment Extraction of Olive-based compounds_ability,Experiment Extraction of Olive-based compounds_numberOfQuestions,Introduction to extraction process_masteryStatus,Introduction to extraction process_ability,Introduction to extraction process_numberOfQuestions,Solid-Liquid Extraction Mechanism_masteryStatus,Solid-Liquid Extraction Mechanism_ability,Solid-Liquid Extraction Mechanism_numberOfQuestions,Conventional extraction techniques_masteryStatus,Conventional extraction techniques_ability,Conventional extraction techniques_numberOfQuestions,Solvents and processing conditions_masteryStatus,Solvents and processing conditions_ability,Solvents and processing conditions_numberOfQuestions,Innovative extraction techniques_masteryStatus,Innovative extraction techniques_ability,Innovative extraction techniques_numberOfQuestions,Introduction Extraction of olive-based compounds_masteryStatus,Introduction Extraction of olive-based compounds_ability,Introduction Extraction of olive-based compounds_numberOfQuestions,Solid-Liquid Extraction Definition_masteryStatus,Solid-Liquid Extraction Definition_ability,Solid-Liquid Extraction Definition_numberOfQuestions,Extraction yield and mathematical modelling_masteryStatus,Extraction yield and mathematical modelling_ability,Extraction yield and mathematical modelling_numberOfQuestions
e2-ntua-student16,4,79,18,2,15,0,3,58,15,5,91,15,4,89,12,4,83,9,4,89,5,3,78,9,4,88,5,5,90,12,4,86,5
e2-ntua-student20,3,75,1,1,46,0,3,77,3,3,68,3,4,80,3,3,75,3,3,70,0,3,74,1,3,70,0,3,78,1,3,70,0
e2-ntua-student19,4,83,7,2,15,0,2,42,21,4,85,4,5,91,9,3,79,12,3,72,30,4,87,4,4,89,5,4,88,0,4,85,4
e2-ntua-student18,4,88,14,2,28,0,4,82,10,4,89,7,5,91,3,5,91,9,4,88,2,4,87,6,4,89,3,5,91,7,4,89,3
e2-ntua-student17,5,91,36,2,22,0,3,71,51,5,91,18,5,91,15,5,91,50,5,90,2,4,86,27,4,88,8,5,91,10,4,87,2
e2-ntua-student2,4,85,9,2,15,0,2,26,4,3,71,2,4,88,3,4,82,2,3,73,36,4,82,2,4,86,7,4,85,1,3,79,1
e2-ntua-student15,4,88,10,2,32,0,4,83,12,4,86,7,5,91,5,4,87,1,4,89,3,4,89,6,4,87,1,4,88,0,4,87,1
e2-ntua-student14,2,26,3,2,13,0,2,27,3,4,87,12,3,66,30,2,26,3,1,60,3,2,32,2,3,74,1,4,87,0,3,75,1
e2-ntua-student13,1,61,3,2,28,0,1,52,3,2,44,3,4,83,2,1,61,3,3,77,1,3,77,3,3,65,3,3,74,1,2,43,3
e2-ntua-student3,4,86,14,2,15,0,6,61,6,4,85,20,5,91,15,4,84,11,4,80,3,4,87,5,4,88,3,5,91,5,4,88,3
e2-ntua-student4,3,71,3,2,26,0,3,59,14,4,84,12,3,67,12,7,54,2,3,70,2,3,70,3,4,87,2,4,84,2,4,89,8
e2-ntua-student12,3,72,1,2,27,0,6,46,3,4,87,9,4,88,3,3,69,21,3,73,0,3,72,3,3,79,1,4,85,1,3,73,0
e2-ntua-student11,5,91,5,2,28,0,3,66,66,5,91,7,5,91,10,3,60,24,5,91,2,5,91,6,5,91,8,5,91,4,5,91,2
e2-ntua-student8,3,77,4,2,30,0,3,73,9,3,79,3,4,85,3,4,85,2,4,84,1,4,82,3,4,88,7,3,77,0,4,84,1
e2-ntua-student10,3,74,1,2,31,0,1,53,3,4,85,10,4,86,5,3,72,1,3,78,1,3,74,3,5,91,14,3,75,0,3,78,3
e2-ntua-student6,4,80,5,2,15,0,4,79,11,4,89,4,5,91,9,5,91,9,4,78,20,4,80,6,4,77,29,4,90,1,4,88,2
e2-ntua-student1,4,82,22,2,25,0,4,76,32,5,91,2,5,91,28,4,86,27,5,91,38,4,82,22,5,91,7,5,90,4,5,91,5
e2-ntua-student5,5,90,13,2,18,0,4,78,26,4,89,8,5,91,4,5,91,41,5,91,12,5,91,5,5,91,11,5,91,11,5,91,5
e2-ntua-student28,2,43,4,2,16,0,2,26,2,3,75,1,2,41,3,2,36,0,2,37,2,2,36,0,2,38,2,3,73,2,2,37,2
e2-ntua-student26,2,39,2,2,19,0,2,26,3,3,71,1,3,65,3,2,38,2,3,73,2,2,39,2,2,35,3,3,71,1,2,36,3
